2913212,2918976,2924666,2929511,2933351,2937243,2941259,2944465,2946933,2949272,2952284,2954941,2956117,2957539,2960049,2962701,2964259,2965860,2968851,2972238,2974342,2976505,2979588,2982619,2984499,2986830,2989943,2992879,2994758,2996921
31134,31722,32143,32209,33337,33455,33982,34364,35467,36018,35945,37155,35898,35974,36126,35919,37063,37827,38149,38832,38477,38967,39244,39411,39341,39828,39790,39912,40668,40893
1585462311,1606981344,1616092621,1660000724,1709143764,1718656152,1741689020,1740245380,1792764160,1816100388,1828137260,1917266840,1825714640,1850632608,1871742040,1899736768,1929565364,1966205552,2007498648,2040834340,2081362680,2130647756,2147470196,2175176000,2179767472,2206406732,2225661240,2238929440,2268519449,2281669386
37210679,37292949,37381923,37475203,37555812,37634296,37724050,37813927,37893440,37969946,38059807,38150702,38223701,38295339,38383164,38477710,38558900,38638244,38727619,38814978,38886245,38956265,39032002,39101645,39157970,39217597,39287746,39356450,39413064,39470752
42608,43091,43232,44296,45509,45667,46169,46021,47311,47830,48033,50255,47764,48325,48765,49372,50042,50888,51836,52579,53524,54693,55018,55629,55666,56261,56650,56889,57558,57807
196854366,198779588,202576238,208069504,215667335,218573792,222113077,223089460,228110492,231437344,232840500,243635268,241441280,244910100,248491144,251750136,259602632,265051728,269276964,274970544,278448432,282737432,283853672,285621280,284567660,287177812,290496256,290171620,295960958,298439892
5020514,5038891,5058151,5076314,5092763,5109467,5127925,5146441,5163645,5180831,5200583,5221082,5239128,5257659,5278446,5299921,5319507,5339286,5363041,5388918,5412545,5436425,5461021,5484625,5506294,5528800,5552868,5576673,5598695,5621253
39210,39449,40049,40988,42348,42778,43314,43348,44176,44672,44772,46664,46084,46582,47077,47501,48802,49642,50210,51025,51445,52008,51978,52077,51680,51942,52315,52033,52862,53091
218842220,222257612,223359336,225160592,227571482,229362536,230382678,229529328,230287360,232394864,232211556,239949772,228957920,229699756,231541556,232259964,235364628,237866324,240147948,242899296,242015760,244720608,245337964,247689540,246419512,248957900,248883432,247285696,249476716,251389254
3572522,3576957,3581763,3584876,3586698,3588582,3590860,3592336,3592843,3593275,3594810,3596168,3595702,3595582,3595933,3595616,3593971,3592379,3591686,3590679,3588133,3585669,3584239,3582663,3579755,3577374,3575908,3574209,3571300,3568714
61257,62136,62360,62808,63449,63915,64158,63894,64096,64675,64596,66724,63675,63884,64390,64595,65489,66214,66862,67647,67449,68250,68449,69136,68837,69592,69600,69186,69856,70443
36007964,36579680,37382788,37917192,39167539,39526780,39991097,40064324,39103536,39895868,39727572,41088824,39971084,40539240,40720852,41032352,41509444,41910912,42379336,42900800,43721176,44433424,44520124,45078980,44928800,45451716,46032844,45884280,46796449,47240015
