,MC,HR,VT,Abadie,HR+VT,MC+HR+VT,MC+HR+VT+Abadie,HR+VT+Abadie
52,1.015,0.99513,1.16466,1.06168,0.99513,0.99513,0.99815,0.99815
53,0.74682,0.80293,0.54669,1.03618,0.78471,0.77477,0.77477,0.78471
54,0.25957,0.37881,0.35163,0.37997,0.32913,0.32472,0.34708,0.34708
55,1.05586,0.83199,0.91252,1.91164,0.83199,0.83199,0.83141,0.83141
56,1.5008,1.82247,1.54591,2.21037,1.54591,1.5008,1.65955,1.7367
57,0.63176,0.69186,0.64794,0.76291,0.63952,0.63952,0.63952,0.63952
58,0.9436,1.39837,0.96821,1.11337,1.01684,0.9436,0.96336,1.01357
59,0.76492,0.69577,0.73979,0.74645,0.69577,0.73063,0.72912,0.69488
60,0.42446,0.5836,0.62509,0.84368,0.56221,0.46792,0.72906,0.73458
61,1.76871,1.60874,1.70253,1.54725,1.63936,1.71546,1.71546,1.63936
62,1.12043,1.21565,1.12202,1.00917,1.21565,1.21565,1.16891,1.16891
63,0.30681,0.34813,0.31531,0.33325,0.2884,0.30681,0.30681,0.2884
64,0.4845,0.46533,0.64965,0.38248,0.46533,0.46533,0.46533,0.46533
65,1.0314,1.04337,2.16401,1.7521,1.85097,1.5704,1.58983,1.9309
66,0.66754,0.79506,1.08469,0.76394,1.08469,1.08469,1.08469,1.08469
67,0.78056,0.82261,0.76307,0.65746,0.76307,0.76307,0.70258,0.70258
68,0.86388,0.93019,0.7903,0.6105,0.7903,0.7903,0.72471,0.72471
69,1.35203,1.32652,1.61909,1.36407,1.47187,1.32615,1.32828,1.36799
70,0.98817,1.13216,0.83227,1.63675,1.13216,1.07218,1.07218,1.13216
71,0.84284,0.85361,0.86583,0.9514,0.86583,0.84653,0.86698,0.87679
72,0.74756,0.84944,0.86488,0.83528,0.85766,0.85766,0.85766,0.85766
73,0.59866,0.54911,4.03294,3.01983,0.9527,0.9527,2.12261,2.12261
74,0.94386,0.77716,1.03695,0.9396,0.80376,0.87819,0.88145,0.81302
75,0.7593,0.70105,0.81133,1.54927,0.70105,0.7047,0.7047,0.70105
76,0.45764,0.40784,0.69685,0.94596,0.42518,0.42518,0.46134,0.46134
77,0.52242,0.43469,0.54906,0.4135,0.54906,0.48089,0.48089,0.54906
78,0.98916,0.8954,1.02536,1.63373,1.02536,1.02536,1.02536,1.02536
79,0.74498,0.78704,0.90518,0.70824,0.77558,0.77558,0.76859,0.76859
80,0.26368,0.18838,0.44539,0.49967,0.24782,0.27358,0.27358,0.24782
81,0.44641,0.5061,0.67612,0.59069,0.50077,0.50077,0.49183,0.49183
82,0.30371,0.3259,0.35344,0.45589,0.33117,0.30371,0.42824,0.45589
83,0.59382,0.43047,0.71868,0.41525,0.69326,0.64669,0.41461,0.41638
84,0.36861,0.35257,0.65694,0.45125,0.50545,0.36861,0.36861,0.50545
85,0.55486,0.6292,0.61451,0.495,0.52346,0.52346,0.51867,0.51867
86,0.6468,0.87066,0.84715,0.47775,0.87066,0.87066,0.87066,0.87066
87,0.84432,0.81294,0.96126,1.22869,0.86875,0.86875,0.86875,0.86875
88,0.34254,0.44831,0.72358,0.51927,0.41785,0.41785,0.41785,0.41785
89,0.84107,0.90335,0.9147,1.27523,0.89955,0.89955,0.94011,0.946
90,0.8892,1.05617,0.86721,1.43269,0.8631,0.88927,1.43269,1.43269
91,0.4087,0.21851,0.84204,0.57321,0.35943,0.42142,0.4531,0.46991
92,0.83157,0.91572,0.96344,0.81361,0.96344,0.96344,0.81361,0.81361
93,0.67312,0.59705,0.73713,0.22962,0.59705,0.59705,0.59705,0.59705
94,0.83945,0.85302,0.80745,0.86213,0.76657,0.78802,0.8118,0.79731
95,0.52091,0.50484,0.43645,0.22056,0.45584,0.52091,0.52091,0.45584
96,1.29347,1.79679,1.49372,1.18783,1.5641,1.44677,1.25823,1.29599
97,0.22985,0.34339,0.70043,0.45292,0.34339,0.25279,0.25279,0.34339
98,0.76007,0.83201,0.83368,0.67776,0.77808,0.74634,0.72558,0.74087
99,0.57908,0.59924,0.40714,1.78363,0.59681,0.59681,1.73264,1.73264
100,0.53572,0.67553,0.57933,0.64391,0.57933,0.57933,0.59617,0.60149
101,0.49889,0.65565,0.39344,0.37606,0.38412,0.41228,0.41228,0.38412
102,1.40398,1.85707,1.4411,1.87015,1.4411,1.4221,1.4221,1.4411
103,0.14261,0.20113,0.68177,0.62917,0.68177,0.63672,0.63672,0.68177
104,0.419,0.43496,1.1044,0.86966,1.1044,1.1044,0.86966,0.86966
105,0.67555,0.74564,0.61828,0.65415,0.74564,0.72531,0.62241,0.62241
106,0.56137,0.62933,0.45292,0.45255,0.55513,0.56137,0.46953,0.46944
107,0.8365,0.80694,0.60227,1.30247,0.60227,0.8365,0.91948,0.85606
108,1.38765,2.18147,1.28268,7.60971,1.25593,1.38122,1.38122,1.25593
109,0.59131,0.5823,0.93494,0.71728,0.67185,0.67185,0.67185,0.67185
110,1.65257,1.6227,1.5659,2.85021,1.55034,1.6478,1.79811,1.82897
111,0.72746,0.97047,0.92423,1.08899,0.92423,0.85907,0.85907,0.92423
112,0.78272,0.60825,0.62799,0.90124,0.60825,0.60825,0.60825,0.60825
113,1.53752,1.84213,1.58283,1.30439,1.59906,1.59906,1.59906,1.59906
114,1.15615,1.25987,1.17934,0.9948,1.2444,1.2444,1.182,1.182
115,0.51134,0.43009,2.62195,2.65126,0.86997,0.86997,0.84269,0.84269
116,0.35631,0.46533,0.40809,0.38989,0.40809,0.38202,0.36439,0.36439
117,0.78909,0.7232,0.7702,0.53429,0.71793,0.72074,0.72074,0.71793
118,0.87678,0.97783,1.05486,1.03902,0.97783,0.8994,0.90064,0.97946
119,0.57114,0.89988,0.46583,0.9613,0.46583,0.46583,0.46583,0.46583
120,0.80479,0.93758,1.16298,1.0538,0.97562,0.84674,0.84674,0.97562
121,0.45262,0.50677,0.56863,0.53051,0.42526,0.43111,0.43694,0.44263
122,1.17859,1.10522,1.09599,1.18495,1.0947,1.17859,1.16396,1.11292
123,1.15818,1.43916,0.96167,1.44056,0.96167,0.96167,0.98127,0.98127
124,0.34583,0.2455,0.62826,0.45657,0.23362,0.34583,0.35504,0.39104
125,1.02928,1.09917,0.95453,1.16308,1.01219,1.01219,1.01219,1.01219
126,0.75095,0.7155,1.11858,1.06799,0.82531,0.82531,1.06799,1.06799
127,1.65813,1.82352,1.64753,1.67068,1.7082,1.66854,1.66415,1.66705
128,0.48351,0.46693,0.65806,0.44405,0.65806,0.48351,0.48351,0.6165
129,0.24829,0.24937,0.40644,0.32473,0.27092,0.27092,0.28187,0.28187
130,0.63412,0.74119,0.69304,0.46578,0.68236,0.64933,0.5243,0.52071
131,1.50601,1.66498,1.49175,1.56942,1.49175,1.49374,1.49374,1.49175
132,0.61836,1.24438,0.88145,3.58626,0.90202,0.90202,0.90202,0.90202
133,0.69375,0.70103,0.98328,0.76972,0.98328,0.92489,0.86495,0.91303
134,0.85647,0.61754,0.94561,1.02612,0.79288,0.82721,0.85976,0.89037
135,1.12343,1.05008,1.07396,1.10945,1.05144,1.09238,1.09132,1.05747
136,1.08061,1.0198,1.08884,0.9829,1.08884,1.08884,0.9829,0.9829
137,0.78804,0.98508,0.81424,0.80126,0.81424,0.81424,0.81424,0.81424
138,1.28932,1.34835,1.28399,1.35998,1.29391,1.30314,1.30314,1.29606
139,0.53018,0.50448,0.65537,0.50848,0.56367,0.53217,0.51442,0.56105
140,0.48006,0.40127,0.4262,0.69159,0.40127,0.40127,0.40127,0.40127
141,0.4144,0.44124,0.5257,0.83424,0.50626,0.50626,0.57076,0.57076
142,1.13363,1.24551,0.87011,1.02447,1.03482,1.03022,1.03022,1.03482
143,1.27145,1.19403,1.32551,1.22101,1.26179,1.26179,1.23888,1.23888
144,1.12639,0.96941,1.23676,1.10233,1.23676,1.23676,1.23676,1.23676
145,0.45924,0.32788,0.56773,0.81934,0.35361,0.36472,0.67143,0.67143
146,1.1657,1.44798,1.16356,1.39213,1.16625,1.1657,1.1657,1.16625
147,0.68665,0.81419,0.60472,1.15933,0.73677,0.73677,0.73677,0.73677
148,1.37159,1.67188,1.46068,1.54549,1.46068,1.37159,1.37159,1.46068
149,0.70623,0.50329,0.57989,0.34909,0.49674,0.49674,0.40069,0.40069
150,0.86232,0.56618,0.71667,0.68552,0.71667,0.75934,0.75934,0.71667
151,0.78011,0.7708,0.88377,0.72361,0.88377,0.83281,0.763,0.7663
152,1.54483,1.72847,1.56992,2.45435,1.56992,1.56992,1.70543,1.70543
153,0.79907,0.70012,0.87883,0.91924,0.70012,0.70012,0.71522,0.71522
154,0.5706,0.60613,0.86029,0.83913,0.7648,0.7648,0.7648,0.7648
155,0.99914,1.04404,1.04077,0.80993,1.04404,1.00139,0.91624,0.91668
156,0.46707,0.417,0.91501,0.78868,0.417,0.417,0.417,0.417
157,0.81019,0.963,0.76348,0.7496,0.84027,0.84027,0.84027,0.84027
158,0.48191,0.67603,0.57562,0.9241,0.58789,0.58789,0.58789,0.58789
159,0.4126,0.41243,0.39886,0.24937,0.41243,0.41243,0.41243,0.41243
160,0.64578,0.79659,0.98056,1.0818,0.80247,0.64578,0.64578,0.80247
161,0.49479,0.64382,0.38637,0.36516,0.51133,0.49479,0.49479,0.41332
162,0.62198,0.97559,0.85971,0.66328,0.85895,0.62198,0.6209,0.82314
163,0.74291,0.69372,0.70167,1.57067,0.67889,0.74291,0.97004,1.06748
164,0.21355,0.26673,0.9677,0.2575,0.33341,0.33341,0.23601,0.23601
165,0.46947,0.61504,0.85315,0.62107,0.75651,0.61792,0.64151,0.64151
166,0.77987,1.06353,0.85499,0.80684,0.85499,0.78942,0.78942,0.83913
167,0.5679,0.50532,0.52552,0.54677,0.50532,0.5635,0.54677,0.54677
168,0.80381,0.47986,0.87527,0.89521,0.61937,0.69608,0.69608,0.61937
169,1.42995,1.41701,1.21515,1.78559,1.2378,1.30231,1.30231,1.2378
170,0.5748,0.36432,0.33468,2.15883,0.31178,0.34545,0.40701,0.37767
171,1.48986,1.44255,1.81093,1.69766,1.80349,1.7786,1.7786,1.80757
172,0.52145,1.691,2.53019,1.4763,1.58886,0.52228,0.6527,1.91915
173,0.50867,0.56789,0.75031,0.67938,0.56789,0.55319,0.55319,0.56789
174,0.64077,0.4919,0.8025,0.85595,0.48634,0.52022,0.52022,0.48245
175,1.2609,1.10819,1.42157,0.82156,1.10819,1.10819,1.10819,1.10819
176,0.98856,0.97252,1.14683,1.20769,1.14683,1.04476,1.05732,1.15409
177,1.87819,1.85243,1.86606,1.88545,1.85243,1.85243,1.85243,1.85243
178,0.95069,0.66338,0.93292,0.85569,0.66338,0.77431,0.77431,0.66338
179,1.13368,0.86295,1.17391,1.35241,1.17391,1.17391,1.17391,1.17391
180,1.37149,1.32819,1.30404,1.33827,1.30404,1.30404,1.30404,1.30404
181,0.78685,0.57653,0.85064,0.88465,0.62864,0.71302,0.71302,0.62864
182,0.8117,0.85011,0.7786,0.85361,0.85011,0.81211,0.85361,0.85361
183,0.56122,0.53886,0.56719,0.76625,0.51842,0.51842,0.51842,0.51842
184,0.58626,0.74883,0.6068,0.5211,0.65236,0.58626,0.58626,0.54504
185,0.37571,0.40889,0.3799,0.4452,0.40889,0.37571,0.37334,0.37947
186,0.71643,0.6901,0.59572,0.64256,0.59889,0.59889,0.59889,0.59889
187,1.87883,1.92223,1.93124,1.92065,1.91094,1.90129,1.89819,1.90807
188,0.54292,0.58238,0.77787,0.42979,0.59352,0.59257,0.59257,0.59352
189,0.90175,0.80004,0.89857,0.62286,0.82708,0.82708,0.73057,0.73057
190,0.34662,0.56379,0.16518,0.48566,0.46899,0.45964,0.46007,0.48251
191,0.99376,0.93006,0.72493,1.18673,0.80653,0.80653,0.80653,0.80653
192,0.81495,0.86768,0.86595,0.92591,0.85094,0.85094,0.85094,0.85094
193,1.12038,1.50594,1.16226,1.56479,1.18071,1.18071,1.19602,1.19602
194,1.02226,1.1482,1.16407,4.06398,1.06828,1.01553,1.01553,1.06828
195,0.60532,0.55999,0.71196,0.54849,0.55999,0.55999,0.55999,0.55999
196,0.89396,0.96803,1.0527,1.29693,0.93585,0.9132,0.93967,0.96264
